formula,elements,num_atoms,a,b,c,alpha,beta,gamma,angle_deviation,angle_std,space_group_number,space_group_symbol,crystal_system,symprec_used,min_bond_length,max_bond_length,bond_length_range,min_coordination,max_coordination,fraction_sp,fraction_other,row_index,split,source_file,material_id,relative_energy,volume_ratio,lattice_asymmetry,bond_complexity,hybridization_diversity
C,C,-0.5,-0.004374049583953286,0.7441129903747071,-0.3735555348278043,-1.079310739448804,-1.3723972858349962,-1.7979691562979903,2.6815452270686593,-0.3704434311902043,12,C2/m,monoclinic,0.0,0.9111122806396847,-0.007800591012194189,-0.32664341027358607,1.0,0.0,0.0,0.0,0,train,huggingface,C-130499-1826-36,-0.48044918297406924,-0.23843996507470683,0.23191890133923698,-0.44967621893502696,0.0
C,C,0.5,0.01156731081381309,0.3807393631725761,0.1710402222014945,0.002897800217199658,-0.5429441928744397,-1.2376933475794931,0.19089045069122898,0.440009158312345,12,C2/m,monoclinic,0.0,0.3454956574986644,0.23949212041594584,0.18483299082173757,1.0,0.0,0.0,0.0,1,train,huggingface,C-13904-4247-31,-0.5837241149998199,-0.38544866936373423,0.41814153122109765,0.04041403192916647,0.0
C,C,0.5,-0.0707536692466724,0.4994429226039399,0.1778648343334472,1.0056203955983403,0.5205653415012181,-0.5545329212669886,0.6259283864063202,1.0967151054711433,1,P1,triclinic,0.0,0.623236454161151,-0.1835056521134284,-0.2451051171878013,0.0,0.0,0.0,0.0,2,train,huggingface,C-92138-4782-35,0.20016277326978038,-0.22818689511493556,0.5360980634471841,-0.35189808106727505,0.8364162796660672
C,C,3.0,-0.013515129769166133,-0.010856726395415742,2.885261532402658,0.3575998220269945,-0.5676720313426373,-0.00445307383876522,-0.6187988076526175,-0.09190507243469705,1,P1,triclinic,0.0,0.5812169017109767,0.5783296835810557,0.23365101334774785,1.0,0.0,0.0,0.0,3,train,huggingface,C-192672-505-73,-0.46746379482253825,-0.4531084361742211,1.980080863547408,-0.08175032049932228,0.0
C,C,-0.5,1.558101389102466,0.5172777763815938,-1.0175978608960607,0.7535424966250278,1.7265923976189612,-0.46916970163486144,1.2804666006804108,1.502369766690374,2,P-1,triclinic,0.0,-0.3134337197390245,-1.4402865676376153,-0.38594997502113254,0.0,-1.0,0.0,0.0,4,train,huggingface,C-193956-5355-22,0.38501434126672546,0.849330823548292,-0.9921335708859718,-0.45354357298275544,0.0
C,C,1.5,2.896628906316743,0.3983731664614276,-0.4864906880577059,-0.42284016153953397,-0.009534150571963215,0.008507867939630072,-1.011830812262722,-0.5748332292589173,8,Cm,monoclinic,0.0,-0.9125577248831728,0.652524037804474,1.2412468782763988,0.0,0.0,0.0,0.0,5,train,huggingface,C-176661-8591-28,0.09946630652086938,0.18385497284675684,-1.197351093730211,0.8696170752781786,1.1414722020711574
C,C,1.0,-0.0865070822013763,2.511095473850871,0.5177377732176722,-1.3988485767729701,-0.0006991140204097301,0.0008563014364885652,0.08003315905048816,1.2896571751471908,12,C2/m,monoclinic,0.0,-0.0085949955696584,-1.759760548057667,-0.7719949986573514,0.0,-1.0,0.0,0.0,6,train,huggingface,C-177252-751-44,-1.2037401378612036,0.8547804086188432,1.5548785134973984,-1.0001988046848467,0.0
C,C,1.0,0.03856339808977126,0.4926658457105042,0.12249064660220314,-0.31410176126433775,-0.2357909464509273,-0.4377806627528023,-0.5131114178557267,-1.0343229282721969,1,P1,triclinic,0.0,-0.8408065314304494,0.4043133158857427,1.0478109360656005,0.0,0.0,0.0,0.0,7,train,huggingface,C-170900-9651-22,-0.1235032641595508,-0.38050636562843443,0.4094060071453984,0.47607661352363595,0.7531073239190855
C,C,-0.5,0.04917388555709374,-0.0762065123604161,-0.7379753132481423,0.9945450193721179,0.7963588449177835,-0.000887704261976564,0.2943914873901813,0.2690955349595487,8,Cm,monoclinic,0.0,-0.38442609686775353,0.00451376948600513,0.5163881962153019,0.0,0.0,0.0,0.0,8,train,huggingface,C-130544-211-29,-0.06716369485987891,-0.19260390949895123,-0.3440785332522754,0.6036228536148218,1.0639253280555108
C,C,-0.5,-0.09757889521075705,0.011970881187538888,-0.724180994724787,-0.004479032302168173,0.004391858585394201,0.0010500798474284698,-1.4983912499928187,-1.3703851999697159,40,Ama2,orthorhombic,0.0,-0.14157879648100288,-0.7294609522296407,-0.07540168976267651,0.0,0.0,0.0,0.0,9,train,huggingface,C-136247-3248-26,-0.492410770518172,0.8236101374593955,-0.2069742538698406,0.40774282554822877,1.0639253280555108
