row_index,material_id,split,source_file,formula,elements,space_group_number,space_group_symbol,crystal_system,energy,energy_per_atom,relative_energy,hdbscan_cluster,hdbscan_probability,hdbscan_is_noise,pca1,pca2,num_atoms,a,b,c,alpha,beta,gamma,volume,volume_per_atom,b_over_a,c_over_a,angle_deviation,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,std_coordination,min_coordination,max_coordination,kmeans_cluster,kmeans_label
0,C-130499-1826-36,train,huggingface,C,C,12,C2/m,monoclinic,-154.3118905,-154.3118905,0.2450944999999933,1,0.9445924974430884,False,-1.526489254181805,2.212702192109428,6,2.4805299999999995,5.090559999999999,4.89497,57.97520999999999,59.51109000000001,43.045589999999976,34.99453899562845,5.832423165938075,2.052206584883069,1.9733565004253129,109.46811000000002,1.5269332906901918,0.0236537191158883,1.491933984756742,1.5694262546381783,0.0,4.0,4.0,2,Ben vung (Low Energy)
1,C-13904-4247-31,train,huggingface,C,C,12,C2/m,monoclinic,-154.332183,-154.332183,0.224802000000011,1,1.0,False,0.1641957950892661,2.0806677214097906,10,2.48986,4.656789999999999,5.94592,90.0329,77.93642,57.67567999999999,56.44264566809494,5.644264566809494,1.8703019446876523,2.3880539468082542,44.42080000000001,1.5293979678987708,0.0423820530265457,1.4339224063462614,1.5927355122619855,0.0,4.0,4.0,2,Ben vung (Low Energy)
2,C-92138-4782-35,train,huggingface,C,C,8,Cm,monoclinic,-154.178157,-154.178157,0.3788279999999986,2,0.8902761559571596,False,0.7991852992226608,0.7665592608465199,10,2.44168,4.798490000000001,5.95909,119.73601999999998,101.56104,75.51457,58.45546220724035,5.845546220724035,1.9652411454408445,2.4405696078110157,55.78248999999998,1.5129329292733589,0.027125576932457,1.4624084538635709,1.5528646887458266,0.3999999999999999,3.0,4.0,1,Phuc tap (High Energy)
4,C-193956-5355-22,train,huggingface,C,C,12,C2/m,monoclinic,-154.14183549999998,-154.14183549999998,0.4151495000000125,0,0.6627673257900812,False,-2.575856301587167,-2.944765998916604,6,3.395,4.81978,3.65211,112.26885,128.35152,77.7436,43.34806181933401,7.224676969889002,1.4196701030927834,1.0757319587628866,72.87677,1.4119084332422622,0.0217357133940929,1.3663403522292576,1.434403331888772,0.0,3.0,3.0,0,Trung gian
6,C-177252-751-44,train,huggingface,C,C,12,C2/m,monoclinic,-154.45401,-154.45401,0.1029749999999865,0,0.662282986381444,False,1.0790244784849523,-3.2621378840199307,12,2.4324600000000003,7.199860000000001,6.61497,48.50970999999999,89.98176000000001,90.01706000000001,86.77982368603591,7.231651973836326,2.959908898810258,2.719456846155743,41.525590000000015,1.4020637783668326,0.0024725359229128,1.3976056560166483,1.4042904293664586,0.0,3.0,3.0,0,Trung gian
7,C-170900-9651-22,train,huggingface,C,C,2,P-1,triclinic,-154.24175416666665,-154.24175416666665,0.3152308333333451,2,1.0,False,2.284850645758944,0.513959685664568,12,2.50566,4.7904,5.85223,80.64259,84.75947000000001,78.56324,67.80708352712983,5.650590293927486,1.9118316132276525,2.3356041921090647,26.0347,1.5213928036363809,0.0586877457531343,1.3122511901266702,1.6082711893342383,0.3726779962499649,3.0,4.0,1,Phuc tap (High Energy)
8,C-130544-211-29,train,huggingface,C,C,71,Immm,orthorhombic,-154.230684,-154.230684,0.3263010000000008,2,1.0,False,0.0783377067411873,0.5035929771696644,6,2.51187,4.11132,4.19172,119.40794,107.68747,89.97151999999998,35.34653643884479,5.891089406474131,1.6367566792867465,1.6687647051798062,47.12389000000003,1.5017801821478278,0.0627074746861826,1.359059130843862,1.5705869787034663,0.4714045207910317,3.0,4.0,1,Phuc tap (High Energy)
9,C-136247-3248-26,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.31424083333334,-154.31424083333334,0.2427441666666538,2,0.8712812650085769,False,-0.0423516164166419,-1.0300991290087445,6,2.42598,4.21658,4.21834,89.81438,90.09485,90.02212,43.15054011666267,7.191756686110445,1.7380934715042995,1.738818951516501,0.3025900000000092,1.4495488329016517,0.0534464337173456,1.3839663818541406,1.5014041638156783,0.4714045207910317,3.0,4.0,1,Phuc tap (High Energy)
10,C-76016-983-23,train,huggingface,C,C,15,C2/c,monoclinic,-154.0695325,-154.0695325,0.4874524999999892,1,1.0,False,-1.0931230837779626,2.603402547015075,8,2.48323,5.01052,4.05185,113.84982,101.04279,85.59381,45.255524911745646,5.656940613968206,2.017743020179364,1.6316853452962474,39.29879999999999,1.536303727140537,0.0277235306536113,1.5067742559563704,1.5825943917750391,0.0,4.0,4.0,2,Ben vung (Low Energy)
12,C-141037-8469-46,train,huggingface,C,C,12,C2/m,monoclinic,-154.30918283333332,-154.30918283333332,0.2478021666666734,1,1.0,False,-1.9239627011566776,2.202315176561397,6,2.48146,3.68878,4.83759,111.45597,104.85401,109.66536999999998,34.98263957130409,5.830439928550682,1.4865361521040032,1.9494934433760769,55.97534999999998,1.5270178572304054,0.024315964401115,1.4917218739658549,1.5740161753579918,0.0,4.0,4.0,2,Ben vung (Low Energy)
