row_index,material_id,split,source_file,formula,elements,space_group_number,space_group_symbol,crystal_system,energy,energy_per_atom,relative_energy,hdbscan_cluster,hdbscan_probability,hdbscan_is_noise,pca1,pca2,num_atoms,a,b,c,alpha,beta,gamma,volume,volume_per_atom,b_over_a,c_over_a,angle_deviation,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,std_coordination,min_coordination,max_coordination,tier1_label
3,C-192672-505-73,train,huggingface,C,C,1,P1,triclinic,-154.309339,-154.309339,0.2476460000000031,-1,0.0,True,3.5776571944151336,1.7010843704304035,20,2.47518,4.18933,11.18377,100.54005,77.38712,89.87842,111.15331675658972,5.557665837829487,1.692535492368232,4.518366341033784,23.274510000000006,1.5311028545974277,0.0377652270565794,1.4580987846247146,1.6246735827648604,0.0,4.0,4.0,noise
5,C-176661-8591-28,train,huggingface,C,C,12,C2/m,monoclinic,-154.19794285714286,-154.19794285714286,0.3590421428571346,-1,0.0,True,1.8061158751779436,-0.3704123855972935,14,4.1784,4.67784,4.67703,77.42149,89.78550000000001,90.21686,89.22094520477035,6.372924657483596,1.119529006318208,1.1193351522113728,13.009869999999978,1.4905784811953262,0.0721262605594997,1.3048921419397317,1.6316669765726992,0.4948716593053935,3.0,4.0,noise
11,C-170888-2365-32,train,huggingface,C,C,1,P1,triclinic,-154.112675,-154.112675,0.4443100000000015,-1,0.0,True,1.7116075720005064,0.6608725137019855,8,2.49384,6.33553,4.21185,49.57982000000001,106.80392999999998,92.38066,47.51722070237221,5.939652587796526,2.540471722323806,1.688901453180637,59.60476999999997,1.4904444194036115,0.0697746100980515,1.386752060345076,1.6299348441250503,0.5,3.0,4.0,noise
24,C-142789-7601-3,train,huggingface,C,C,74,Imma,orthorhombic,-154.125035,-154.125035,0.4319500000000005,-1,0.0,True,1.0251115257297627,1.3238951026324377,12,2.50785,3.41812,9.62215,84.73246999999999,97.52798,68.46338000000002,75.18201077622585,6.265167564685488,1.3629682796020497,3.836812409035628,34.33212999999999,1.5227977153466146,0.039785875015419,1.4674225849933724,1.5812893613839976,0.0,4.0,4.0,noise
83,C-141043-2496-23,train,huggingface,C,C,12,C2/m,monoclinic,-154.217487,-154.217487,0.3394979999999918,-1,0.0,True,0.520411545880613,0.0999637767743394,10,3.79959,2.4639199999999994,8.64186,73.50988,57.987,71.09409,64.2633072696618,6.42633072696618,0.648469966496385,2.274419082058854,67.40903,1.5096851591729492,0.0592196607911144,1.4001958517666726,1.6371992565099671,0.3999999999999999,3.0,4.0,noise
87,C-172941-6659-36,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.29656316666666,-154.29656316666666,0.2604218333333392,-1,0.0,True,0.5352057487001044,-1.2475120102960529,6,2.4255,4.85187,6.35485,41.41342,67.6974,60.08476000000001,42.87641727627142,7.146069546045236,2.0003586889301173,2.620016491445063,100.80442,1.4488737848746118,0.0533219397190081,1.3825259517817752,1.502539128435164,0.4714045207910317,3.0,4.0,noise
124,C-136387-2750-21,train,huggingface,C,C,8,Cm,monoclinic,-154.211338,-154.211338,0.3456469999999854,-1,0.0,True,4.357517669351016,1.1558598491712624,20,2.4824000000000006,4.669290000000001,12.51338,88.71628,107.30959,122.12324,115.60862469199265,5.780431234599632,1.8809579439252333,5.040839510151465,50.71655,1.5311925751237312,0.0451148489295515,1.4221943031608402,1.6051249503277234,0.0,4.0,4.0,noise
138,C-134216-4713-46,train,huggingface,C,C,65,Cmmm,orthorhombic,-154.1549425,-154.1549425,0.4020424999999932,-1,0.0,True,3.4232165280202764,0.2482610910124347,8,2.45388,5.61736,5.61378,93.16155,64.01457,64.07371000000003,59.57437988255212,7.446797485319014,2.2891746947691005,2.287715780722774,55.073269999999965,1.486960126557442,0.1300828865203061,1.3546896024142572,1.790046550469435,0.5,3.0,4.0,noise
148,C-137379-9907-58,train,huggingface,C,C,1,P1,triclinic,-154.31875636363637,-154.31875636363637,0.2382286363636296,-1,0.0,True,2.93328438606924,1.551658771175645,22,3.35885,3.41104,11.35136,85.72926,85.7567,90.48115,129.32519971089883,5.87841816867722,1.0155380561799423,3.379537639370618,8.995190000000008,1.529167965759931,0.0340812854320519,1.480551964847601,1.6562631106252306,0.0,4.0,4.0,noise
153,C-130532-5775-1,train,huggingface,C,C,229,Im-3m,cubic,-154.08246116666666,-154.08246116666666,0.4745238333333361,-1,0.0,True,-3.571901119664782,1.436047078085582,6,3.72806,3.72775,3.72671,109.46063,70.52303,70.50613000000001,39.86005270962985,6.643342118271641,0.9999168468318642,0.9996378813645704,58.431469999999976,1.5216374606378924,0.0011779047435824,1.5195659292771435,1.5234232497323277,0.0,4.0,4.0,noise
156,C-80182-7828-11,train,huggingface,C,C,12,C2/m,monoclinic,-154.21592125,-154.21592125,0.3410637499999893,-1,0.0,True,0.2389038798634329,-0.0795117076684604,8,3.30764,4.21832,5.24449,113.88516,115.74334,49.86809,49.55747387467244,6.194684234334055,1.275326214461066,1.5855685624795923,89.76041000000001,1.482608615384647,0.0680919550030386,1.3727518083131232,1.5789502037461676,0.5,3.0,4.0,noise
161,C-130534-5496-26,train,huggingface,C,C,1,P1,triclinic,-154.25025,-154.25025,0.3067350000000033,-1,0.0,True,4.214765535586759,-1.2686526551449713,14,2.4331600000000004,7.583330000000001,7.19626,120.55868,84.75127000000002,65.87574,96.49034847612782,6.8921677482948445,3.116658994887307,2.9575778000624697,59.93166999999998,1.449205273511481,0.0540268081079796,1.3669929989788228,1.548649771728165,0.4517539514526257,3.0,4.0,noise
166,C-72716-3406-49,train,huggingface,C,C,63,Cmcm,orthorhombic,-154.31521633333332,-154.31521633333332,0.2417686666666725,-1,0.0,True,0.7498238117120797,-1.172635918355878,6,2.42798,6.32463,4.87995,41.90708000000001,60.09215,67.34634,43.37381691589722,7.22896948598287,2.6048937800146628,2.009880641520936,100.65443,1.449201202685105,0.0525018106646806,1.3825764832786305,1.499535859745609,0.4714045207910317,3.0,4.0,noise
196,C-149237-396-17,train,huggingface,C,C,1,P1,triclinic,-154.190153,-154.190153,0.366831999999988,-1,0.0,True,5.815174324970931,0.3001452169835866,20,2.4982199999999994,5.1425,10.606,80.38817,93.65338,59.83695000000001,114.39846729400097,5.719923364700048,2.0584656275267994,4.245422740991587,43.42825999999999,1.5290668385136306,0.0689704618540739,1.3011582243577575,1.6945298288136137,0.3,3.0,4.0,noise
211,C-101121-514-62,train,huggingface,C,C,8,Cm,monoclinic,-154.22158875,-154.22158875,0.3353962500000023,-1,0.0,True,6.795588144150414,-0.138237888515431,24,2.5013,7.29426,8.36104,96.0934,107.39054,99.85409,141.40600723476732,5.8919169681153045,2.9161875824571224,3.342677807540079,33.33802999999999,1.5210195627849612,0.0581930261608371,1.268558684003393,1.650679987386768,0.2763853991962833,3.0,4.0,noise
214,C-137399-7235-5,train,huggingface,C,C,6,Pm,monoclinic,-154.1761827777778,-154.1761827777778,0.3808022222222007,-1,0.0,True,4.689633570248595,2.7220681936635662,18,2.47956,6.91585,6.7302,101.72383,111.61293000000002,90.03826,104.69660627755228,5.816478126530682,2.7891440416848146,2.714271886947684,33.37502000000002,1.5380107785903474,0.0880348496899857,1.3908568207844156,1.8359656086659093,0.0,4.0,4.0,noise
