num_atoms,a,b,c,alpha,beta,gamma,volume,volume_per_atom,density,b_over_a,c_over_a,angle_deviation,space_group_number,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,mean_coordination,std_coordination,min_coordination,max_coordination
6.0,2.4805299999999995,5.090559999999999,4.89497,57.97520999999999,59.51109000000001,43.045589999999976,34.99453899562845,5.832423165938075,3.419545534959421,2.052206584883069,1.9733565004253129,109.46811000000002,12.0,1.5269332906901918,0.0236537191158883,1.491933984756742,1.5694262546381783,4.0,0.0,4.0,4.0
10.0,2.48986,4.656789999999999,5.94592,90.0329,77.93642,57.67567999999999,56.44264566809494,5.644264566809494,3.533540350386378,1.8703019446876523,2.3880539468082542,44.42080000000001,12.0,1.5293979678987708,0.0423820530265457,1.4339224063462614,1.5927355122619855,4.0,0.0,4.0,4.0
10.0,2.44168,4.798490000000001,5.95909,119.73601999999998,101.56104,75.51457,58.45546220724035,5.845546220724035,3.411868770170656,1.9652411454408445,2.4405696078110157,55.78248999999998,8.0,1.5129329292733589,0.027125576932457,1.4624084538635709,1.5528646887458266,3.8,0.3999999999999999,3.0,4.0
20.0,2.47518,4.18933,11.18377,100.54005,77.38712,89.87842,111.15331675658972,5.557665837829487,3.588599454706788,1.692535492368232,4.518366341033784,23.274510000000006,1.0,1.5311028545974277,0.0377652270565794,1.4580987846247146,1.6246735827648604,4.0,0.0,4.0,4.0
6.0,3.395,4.81978,3.65211,112.26885,128.35152,77.7436,43.34806181933401,7.224676969889002,2.7605713969221046,1.4196701030927834,1.0757319587628866,72.87677,12.0,1.4119084332422622,0.0217357133940929,1.3663403522292576,1.434403331888772,3.0,0.0,3.0,3.0
14.0,4.1784,4.67784,4.67703,77.42149,89.78550000000001,90.21686,89.22094520477035,6.372924657483596,3.129526499525979,1.119529006318208,1.1193351522113728,13.009869999999978,12.0,1.4905784811953262,0.0721262605594997,1.3048921419397317,1.6316669765726992,3.571428571428572,0.4948716593053935,3.0,4.0
12.0,2.4324600000000003,7.199860000000001,6.61497,48.50970999999999,89.98176000000001,90.01706000000001,86.77982368603591,7.231651973836326,2.757908796943557,2.959908898810258,2.719456846155743,41.525590000000015,12.0,1.4020637783668326,0.0024725359229128,1.3976056560166483,1.4042904293664586,3.0,0.0,3.0,3.0
12.0,2.50566,4.7904,5.85223,80.64259,84.75947000000001,78.56324,67.80708352712983,5.650590293927486,3.5295846199486256,1.9118316132276525,2.3356041921090647,26.0347,2.0,1.5213928036363809,0.0586877457531343,1.3122511901266702,1.6082711893342383,3.8333333333333335,0.3726779962499649,3.0,4.0
6.0,2.51187,4.11132,4.19172,119.40794,107.68747,89.97151999999998,35.34653643884479,5.891089406474131,3.38549209135399,1.6367566792867465,1.6687647051798062,47.12389000000003,71.0,1.5017801821478278,0.0627074746861826,1.359059130843862,1.5705869787034663,3.6666666666666665,0.4714045207910317,3.0,4.0
6.0,2.42598,4.21658,4.21834,89.81438,90.09485,90.02212,43.15054011666267,7.191756686110445,2.77320791922731,1.7380934715042995,1.738818951516501,0.3025900000000092,63.0,1.4495488329016517,0.0534464337173456,1.3839663818541406,1.5014041638156783,3.333333333333333,0.4714045207910317,3.0,4.0
